unit,n_papers,exposure,contamination,persistence_yrs,recovery_slope
China,29967,0.2835,1.0,10,-0.0
India,3626,0.3886,1.0,10,-0.0
United States,3260,0.3876,1.0,10,-0.0
Iran,1128,0.2813,1.0,10,-0.0
Japan,1080,0.4302,1.0,10,-0.0
Unknown,719,0.6345,1.0,10,-0.0
South Korea,665,0.5196,1.0,10,-0.0
United Kingdom,634,0.5349,1.0,10,-0.0
Germany,584,0.5909,1.0,10,-0.0
China;United States,577,0.2482,1.0,10,-0.0
Egypt,439,0.2876,1.0,10,-0.0
Italy,450,0.3589,1.0,10,-0.0
Turkey,386,0.3975,1.0,10,-0.0
Taiwan,345,0.3491,1.0,10,-0.0
Egypt;Saudi Arabia,175,0.1968,1.0,10,-0.0
Saudi Arabia,321,0.372,1.0,10,-0.0
Australia,280,0.4398,1.0,10,-0.0
France,261,0.3039,1.0,10,-0.0
Brazil,244,0.3725,1.0,10,-0.0
Malaysia,261,0.4129,1.0,10,-0.0
Canada,242,0.4156,1.0,10,-0.0
Spain,237,0.3837,1.0,10,-0.0
Netherlands,157,0.5926,1.0,10,-0.0
Pakistan,225,0.3746,1.0,10,-0.0
Russia,688,0.3603,0.9,9,-0.05455
Iraq,335,0.313,0.9,9,-0.05455
China;Pakistan,190,0.2582,0.9,9,-0.05455
China;South Korea,220,0.3191,0.9,10,-0.04242
Ethiopia;India,200,0.3724,0.5,5,-0.15152
Uzbekistan,200,0.0356,0.2,6,-0.04848
