unit,n_papers,exposure,contamination,persistence_yrs,recovery_slope
PLoS ONE,1228,0.2344,1.0,10,-0.0
BioMed Research International,946,0.3072,1.0,10,-0.0
Cochrane Database of Systematic Reviews,507,0.5926,1.0,10,-0.0
Evidence-based Complementary and Alternative Medicine,752,0.3587,1.0,10,-0.0
Journal of Physics Conference Series,843,0.627,1.0,10,-0.0
Journal of Biological Chemistry,388,0.3264,1.0,10,-0.0
Scientific Reports,320,0.2256,1.0,10,-0.0
International Wound Journal,304,0.1525,1.0,10,-0.0
PubMed,342,0.4599,1.0,10,-0.0
IOP Conference Series Materials Science and Engineering,247,0.4591,1.0,10,-0.0
Mathematical Problems in Engineering,371,0.3257,0.9,9,-0.05455
Arabian Journal of Geosciences,367,0.8141,0.8,8,-0.09697
Computational and Mathematical Methods in Medicine,1068,0.3793,0.8,10,0.0
Journal of Sensors,464,0.3786,0.7,7,-0.12727
Journal of Intelligent & Fuzzy Systems,1551,0.0882,0.7,7,-0.12727
Soft Computing,599,0.1343,0.6,6,-0.14545
AIP conference proceedings,307,0.1595,0.5,8,-0.11515
Wireless Communications and Mobile Computing,798,0.3392,0.5,6,-0.13939
Journal of Healthcare Engineering,1079,0.3736,0.5,5,-0.15152
International Journal of Electrical Engineering Education,330,0.3784,0.5,5,-0.15152
Computational Intelligence and Neuroscience,1029,0.4078,0.4,4,-0.14545
Security and Communication Networks,947,0.3645,0.4,4,-0.14545
Mobile Information Systems,381,0.4078,0.4,4,-0.14545
Complexity,268,0.1976,0.4,10,-0.07273
Journal of Ambient Intelligence and Humanized Computing,431,0.4433,0.4,4,-0.14545
E3S Web of Conferences,588,0.0733,0.3,4,-0.11515
Journal of Environmental and Public Health,436,0.4321,0.3,3,-0.12727
Heliyon,383,0.0636,0.3,3,-0.12727
Applied Bionics and Biomechanics,288,0.3707,0.3,3,-0.12727
Contrast Media & Molecular Imaging,250,0.3916,0.3,3,-0.12727
