institution,retraction_count,median_citations,primary_country
Islamic Azad University,566,10.0,Iran
King Saud University,554,11.0,India
Chinese Academy of Sciences,350,6.0,China
Sichuan University,296,5.0,China
King Abdulaziz University,276,11.0,Egypt
Taif University,270,19.0,Egypt
Central South University,260,9.0,China
University of California,257,24.0,United States
Capital Medical University,245,8.0,China
Jilin University,239,4.0,China
Shandong University,235,7.0,China
Wuhan University,231,1.0,China
King Khalid University,218,9.0,China
Wuhan University of Technology,214,0.0,China
Zhejiang University,211,6.0,China
China-Japan Union Hospital of Jilin University,201,15.0,China
Southern Medical University,197,11.0,China
Cairo University,187,11.0,Egypt
Fudan University,187,8.0,China
Tongji University,183,2.0,China
Tongji Medical College,183,8.0,China
SRM Institute of Science and Technology,182,7.0,India
Saveetha School of Engineering,173,13.0,Ethiopia
Harbin Institute of Technology,171,1.0,China
Lovely Professional University,157,5.0,India
Tianjin University,153,1.0,China
The First Hospital of Jilin University,151,19.0,China
The First Affiliated Hospital of Zhengzhou University,150,17.0,China
Zhengzhou University,145,7.0,China
Prince Sattam Bin Abdulaziz University,139,11.0,China
KPR Institute of Engineering and Technology,138,2.0,India
Hohai University,134,1.0,China
North China Electric Power University,134,2.0,China
China Medical University,132,13.0,China
Tsinghua University,128,3.0,China
Northwestern Polytechnical University,127,2.0,China
Vellore Institute of Technology,127,6.0,India
China University of Mining and Technology,127,2.0,China
University of Malaya,124,17.5,Malaysia
Jinan University,122,3.0,China
Anna University,122,6.5,India
Tehran University of Medical Sciences,121,19.0,Iran
Shanghai Jiao Tong University,119,10.0,China
University of Electronic Science and Technology of China,119,3.0,China
Mansoura University,117,19.0,Egypt
Showa University Hospital,117,5.0,Japan
Huazhong University of Science and Technology,116,2.0,China
Henan Polytechnic University,114,0.5,China
Sun Yat-sen University,114,8.0,China
Institute of Aeronautical Engineering,112,4.0,India
Southeast University,111,3.0,China
Jiangsu University,111,5.0,China
Menoufia University,110,17.5,Egypt
Shanghai University,109,3.0,China
Dalian University of Technology,108,1.0,China
Zhejiang University School of Medicine,105,7.0,China
South China University of Technology,104,1.0,China
University of Toronto,104,23.5,Canada
Nanjing Medical University,104,15.0,China
The Affiliated Hospital of Qingdao University,101,12.0,China
The Second Hospital of Jilin University,101,14.0,China
Northeastern University,100,2.5,China
Hunan University,100,3.0,China
Sri Krishna College of Technology,98,2.0,India
Peking University,97,5.0,China
Beijing Institute of Technology,97,2.0,China
University of Chinese Academy of Sciences,95,6.0,China
Annamalai University,94,19.0,India
Beijing Normal University,93,1.0,China
Bahauddin Zakariya University,92,17.0,China
Sathyabama Institute of Science and Technology,91,6.0,India
Klinikum der Stadt Ludwigshafen,91,27.0,Germany
Beihang University,91,1.0,China
Nanjing University,90,3.5,China
Xi’an Jiaotong University,89,5.0,China
Lloyd Institute of Engineering & Technology,88,4.0,India
University of Tehran,88,15.5,Iran
Toride Kyodo General Hospital,87,20.0,Japan
Koneru Lakshmaiah Education Foundation,85,5.0,India
Graduate School of Medicine,85,22.0,Japan
Sri Krishna College of Engineering and Technology,84,3.0,India
Nanchang University,84,2.5,China
Qassim University,84,5.5,Egypt
Shanghai Jiao Tong University School of Medicine,83,9.0,China
Assiut University,82,11.5,Egypt
Jinggangshan University,82,1.0,China
Northeast Forestry University,82,1.0,China
