event_time,mean_citations,se,n,did_estimate,ci_lower,ci_upper,p_value,sig_stars
-10,0.11233073450964301,0.008574852260879172,58488,-0.6268841471754889,-0.6436908576068121,-0.6100774367441657,0.0,***
-9,0.14644029544521953,0.009077409729739734,58488,-0.5927745862399124,-0.6105663093102023,-0.5749828631696225,0.0,***
-8,0.19744221036793871,0.009731502841572667,58488,-0.5417726713171932,-0.5608464168866756,-0.5226989257477108,0.0,***
-7,0.2713377102995486,0.011150720933752151,58488,-0.4678771713855833,-0.4897325844157375,-0.4460217583554291,0.0,***
-6,0.37684653262207635,0.013011551042869841,58488,-0.3623683490630556,-0.3878709891070805,-0.3368657090190307,0.0,***
-5,0.5279715497196006,0.015567635391092828,58488,-0.21124333196553136,-0.2417558973320733,-0.1807307665989894,0.0,***
-4,0.8274346874572562,0.05289058522433569,58488,0.0882198057721243,-0.015445741267573657,0.19188535281182223,0.0953,
-3,1.1252564628641772,0.031340829161058556,58488,0.3860415811790453,0.32461355602337055,0.44746960633472005,0.0,***
-2,1.565671590753659,0.027173097765079115,58488,0.826456709068527,0.773197437448972,0.879715980688082,0.0,***
-1,2.2414170428122007,0.03233000484899869,58488,1.5022021611270686,1.4388353516230312,1.565568970631106,0.0,***
0,2.7504787306797978,0.03454494713710083,58488,2.0112638489946657,1.9435557526059482,2.0789719453833833,0.0,***
1,1.5702024346874572,0.023366328176663714,58488,0.8309875530023253,0.7851895497760644,0.8767855562285862,0.0,***
2,0.8920120366570921,0.015270258155844743,58488,0.15279715497196011,0.12286744898650442,0.1827268609574158,0.0,***
3,0.5483347011352756,0.011324355938430631,58488,-0.19088018054985634,-0.21307591818918037,-0.1686844429105323,0.0,***
4,0.38794282587881274,0.009384138270262842,58488,-0.3512720558063192,-0.3696649668160344,-0.332879144796604,0.0,***
5,0.2982834085624402,0.00812972470923582,58488,-0.44093147312269176,-0.456865733552794,-0.42499721269258955,0.0,***
6,0.22659348926275474,0.006999777853459456,58488,-0.5126213924223773,-0.5263409570151578,-0.49890182782959674,0.0,***
7,0.18449938448912598,0.006072684030533519,58488,-0.554715497196006,-0.5666179578958517,-0.5428130364961603,0.0,***
8,0.14300369306524416,0.004949411393902043,58488,-0.5962111886198878,-0.6059120349519358,-0.5865103422878397,0.0,***
9,0.11592121460812474,0.004439671268612171,58488,-0.6232936670770072,-0.6319954227634871,-0.6145919113905273,0.0,***
10,0.09059978115168923,0.004193947794849406,58488,-0.6486151005334427,-0.6568352382113476,-0.6403949628555379,0.0,***
